,date,headline_score,story_score,avg_score
72,2018-01-28,0.022253787878787883,-0.00948483560090703,0.006384476138940427
70,2018-01-29,-0.033334923178673176,-0.002714607922941256,-0.018024765550807217
69,2018-01-30,0.009269984117130856,0.004983485833648873,0.007126734975389864
67,2018-01-31,0.052435070428565905,0.026948363554531025,0.03969171699154846
66,2018-02-01,0.002022472013280837,0.01621140173765135,0.009116936875466093
65,2018-02-02,0.015478976867897672,0.012961734589543661,0.014220355728720668
71,2018-02-03,-0.013888888888888888,-0.032556394993894996,-0.023222641941391942
64,2018-02-04,0.0014145587657492433,-0.020303128232287068,-0.009444284733268912
68,2018-02-05,0.00945116721902436,-0.019279816323058623,-0.004914324552017132
62,2018-02-06,-0.007156034357539959,0.011992713932981342,0.0024183397877206914
61,2018-02-07,-0.01341881745899603,0.005585295494762982,-0.0039167609821165236
60,2018-02-08,0.017976212959420056,0.0016906252208198037,0.00983341909011993
59,2018-02-09,0.003150420339265389,0.0025764836032927834,0.002863451971279086
63,2018-02-10,-0.01614583333333333,0.013999915660316664,-0.0010729588365083337
58,2018-02-11,0.005138273185148186,-0.004719601423681763,0.00020933588073321178
56,2018-02-12,-0.01616760606817425,0.027027368179069186,0.005429881055447469
55,2018-02-13,-0.003968456312206314,0.012653493560067064,0.0043425186239303745
54,2018-02-14,-0.0021308092352239167,0.0016531536911711664,-0.00023882777202637517
53,2018-02-15,0.033844878508994154,0.0032485813583302357,0.018546729933662194
52,2018-02-16,-0.013445372418586704,0.01453974673546959,0.0005471871584414433
57,2018-02-17,-0.07702020202020203,0.023553421404983902,-0.026733390307609066
51,2018-02-19,-0.0017361111111111095,0.06155149997061762,0.029907694429753252
50,2018-02-20,-0.021206757257893623,-4.701196215137299e-05,-0.010626884610022497
49,2018-02-21,-0.039453461172782874,0.020134406323975545,-0.009659527424403664
48,2018-02-22,0.01602043166075029,-0.0036552386550798652,0.006182596502835212
47,2018-02-23,0.017642282861438704,0.008921237911701236,0.01328176038656997
46,2018-02-25,0.026577380952380953,0.02774796825052865,0.0271626746014548
45,2018-02-26,0.012380598568098563,0.005962948403799958,0.009171773485949261
44,2018-02-27,0.004306362996114056,0.018121705285945956,0.011214034141030007
42,2018-02-28,0.008025712693002606,0.02474264391245724,0.016384178302729924
41,2018-03-01,-0.0036481779719241708,0.0065224389659254665,0.0014371304970006479
40,2018-03-02,-0.006588055572838893,0.005779596221022749,-0.000404229675908072
43,2018-03-04,-0.006011289589095713,0.0470165942123179,0.020502652311611094
39,2018-03-05,0.026390395318966746,0.010802383142542775,0.01859638923075476
38,2018-03-06,0.004043846568375833,0.0011072090785776473,0.00257552782347674
37,2018-03-07,0.013954943590360256,0.012224719829678274,0.013089831710019265
36,2018-03-08,0.02338393025479422,0.011625298289058264,0.017504614271926244
35,2018-03-09,-0.01490388910031767,0.027092594009779255,0.006094352454730792
32,2018-03-12,0.016810521251552597,-0.005116749404705066,0.005846885923423766
31,2018-03-13,-0.008302294084269702,0.0008865737376438525,-0.003707860173312925
30,2018-03-14,0.0069818880520808365,0.0008921145419186387,0.003937001296999738
29,2018-03-15,0.0003337342677524073,-0.0058589056317798075,-0.0027625856820137
28,2018-03-16,-0.011040883624159725,-0.004467584099592493,-0.00775423386187611
34,2018-03-17,0.011381475667189953,0.011946131354026092,0.011663803510608022
33,2018-03-18,-0.01463293650793651,0.014760458839406208,6.376116573484931e-05
27,2018-03-19,0.0009533584957927065,0.00899700095210433,0.004975179723948518
25,2018-03-20,-0.006168887136924124,0.0005109779353001172,-0.0028289546008120033
24,2018-03-21,0.027080442223671394,0.005178429332250367,0.01612943577796088
23,2018-03-22,-0.03581149512139095,0.011931828068634446,-0.011939833526378254
22,2018-03-23,-0.02656118342103981,-0.0038742154390511868,-0.015217699430045499
26,2018-03-25,-0.04242788461538462,0.004672064047064048,-0.018877910284160283
21,2018-03-26,-0.007573967193107819,0.02588152493431042,0.0091537788706013
19,2018-03-27,-0.0046685561275537895,0.012877784452416097,0.004104614162431154
18,2018-03-28,-0.013541361374257032,0.001445968001103714,-0.006047696686576658
17,2018-03-29,0.010697533730960586,0.007588259822940063,0.009142896776950325
16,2018-03-30,-0.008401495990781703,-0.00655318058006682,-0.0074773382854242615
15,2018-03-31,-0.021499719416386082,-0.0009753901560624273,-0.011237554786224254
20,2018-04-01,-0.026324786324786326,-0.019347951431284763,-0.022836368878035543
14,2018-04-02,-0.018187504099474484,0.00023146890026939075,-0.008978017599602546
13,2018-04-03,-0.003018902204089736,0.0030250707441268542,3.0842700185591473e-06
12,2018-04-04,0.0013570250674435997,0.012169456245052161,0.006763240656247881
11,2018-04-05,0.011229881794441406,0.007725867977821969,0.009477874886131688
10,2018-04-06,-0.007659357508935497,0.013025983381697267,0.002683312936380885
9,2018-04-08,0.0014195956160241866,0.010546073219462888,0.005982834417743537
8,2018-04-09,-0.017289091117216118,0.006077069559491433,-0.0056060107788623425
7,2018-04-10,-0.0025880841872142216,-0.0023781134971498663,-0.002483098842182044
6,2018-04-11,0.0158985359878217,0.0045370920347662805,0.01021781401129399
4,2018-04-12,0.006610026943086154,0.007124695338817635,0.006867361140951895
5,2018-04-13,-0.004954895072692191,0.007302204613975273,0.0011736547706415411
3,2018-04-14,0.010503472222222223,0.024095982142857145,0.017299727182539686
1,2018-04-16,0.013158510445598355,-0.00018399946100196616,0.006487255492298194
2,2018-04-17,-0.002557090671674004,0.006168443551996586,0.0018056764401612909
0,2018-04-18,0.0038769507438756396,-0.0027578570557742115,0.000559546844050714
